exp_name,dataset_name,file_size_bytes,run_id,pipeline,unique_symbols,build_huffman_ms,build_obst_ms,encode_ms,decode_ms,total_ms,compressed_bytes,pad_bits,compression_ratio,lookup_comparisons_total,lookup_comparisons_per_symbol,correctness_ok
exp1_distribution,uniform256,524288,1,huffman,256,3.2382,0.0,1612.5531,2200.0466,3815.8379000000004,524288,0,1.0,0,0.0,1
exp1_distribution,uniform256,524288,1,huffman+obst,256,2.6812,2200.5131,2563.8638,2183.8102,6950.8683,524288,0,1.0,3688902,7.036022186279297,1
exp1_distribution,uniform256,524288,2,huffman,256,2.5921,0.0,1443.8739,2185.4176,3631.8836,524288,0,1.0,0,0.0,1
exp1_distribution,uniform256,524288,2,huffman+obst,256,3.1593,2207.8586,2557.3585,2181.3898,6949.766199999999,524288,0,1.0,3690242,7.038578033447266,1
exp1_distribution,uniform256,524288,3,huffman,256,2.661,0.0,1391.5043,1985.4567,3379.6220000000003,524288,0,1.0,0,0.0,1
exp1_distribution,uniform256,524288,3,huffman+obst,256,2.6225,2228.5645,2579.3105,2180.9488,6991.4463,524288,0,1.0,3688477,7.035211563110352,1
exp1_distribution,uniform256,524288,4,huffman,256,2.6693,0.0,1446.6573,2185.5368,3634.8634,524288,0,1.0,0,0.0,1
exp1_distribution,uniform256,524288,4,huffman+obst,256,2.38,2192.5702,2589.08,2220.754,7004.7842,524288,0,1.0,3689435,7.037038803100586,1
exp1_distribution,uniform256,524288,5,huffman,256,2.3827,0.0,1464.098,2203.5154,3669.9961000000003,524288,0,1.0,0,0.0,1
exp1_distribution,uniform256,524288,5,huffman+obst,256,2.3419,2234.2649,2483.5074,2108.6443,6828.7585,524288,0,1.0,3689602,7.037357330322266,1
exp1_distribution,uniform256,524288,6,huffman,256,2.2757,0.0,1443.8463,2180.8644,3626.9864,524288,0,1.0,0,0.0,1
exp1_distribution,uniform256,524288,6,huffman+obst,256,2.3179,2211.4839,2577.7612,2230.7771,7022.340099999999,524288,0,1.0,3688882,7.035984039306641,1
exp1_distribution,uniform256,524288,7,huffman,256,2.2906,0.0,1445.9125,2181.6321,3629.8351999999995,524288,0,1.0,0,0.0,1
exp1_distribution,uniform256,524288,7,huffman+obst,256,2.381,2228.3631,2586.8917,2191.5775,7009.213299999999,524288,0,1.0,3689135,7.036466598510742,1
exp1_distribution,zipf128,524288,1,huffman,128,1.1051,0.0,948.9726,1343.4148,2293.4925000000003,317153,4,0.6049213409423828,0,0.0,1
exp1_distribution,zipf128,524288,1,huffman+obst,128,0.9501,229.3873,1510.8656,1376.1948,3117.3977999999997,317153,4,0.6049213409423828,2245526,4.283000946044922,1
exp1_distribution,zipf128,524288,2,huffman,128,1.1013,0.0,943.7267,1379.0796,2323.9076,317643,3,0.6058559417724609,0,0.0,1
exp1_distribution,zipf128,524288,2,huffman+obst,128,1.1282,272.942,1685.4518,1376.6485,3336.1705,317643,3,0.6058559417724609,2249901,4.291345596313477,1
exp1_distribution,zipf128,524288,3,huffman,128,1.1289,0.0,944.2625,1394.3322,2339.7236000000003,317437,3,0.6054630279541016,0,0.0,1
exp1_distribution,zipf128,524288,3,huffman+obst,128,1.1418,273.7331,1683.4012,1378.5339,3336.81,317437,3,0.6054630279541016,2249187,4.289983749389648,1
exp1_distribution,zipf128,524288,4,huffman,128,1.1469,0.0,960.2783,1380.0264,2341.4516,317081,2,0.6047840118408203,0,0.0,1
exp1_distribution,zipf128,524288,4,huffman+obst,128,1.1828,271.0163,1691.6631,1389.1117,3352.9739,317081,2,0.6047840118408203,2246262,4.284404754638672,1
exp1_distribution,zipf128,524288,5,huffman,128,1.1166,0.0,945.1906,1376.6035,2322.9107,317263,2,0.6051311492919922,0,0.0,1
exp1_distribution,zipf128,524288,5,huffman+obst,128,1.138,273.4506,1663.0864,1188.4641,3126.1391,317263,2,0.6051311492919922,2247115,4.286031723022461,1
exp1_distribution,zipf128,524288,6,huffman,128,1.1011,0.0,943.4121,1366.6414,2311.1546,316752,5,0.604156494140625,0,0.0,1
exp1_distribution,zipf128,524288,6,huffman+obst,128,1.1039,272.0129,1706.152,1372.0788,3351.3476,316752,5,0.604156494140625,2243125,4.278421401977539,1
exp1_distribution,zipf128,524288,7,huffman,128,1.1176,0.0,943.2733,1364.7852,2309.1761,316797,0,0.6042423248291016,0,0.0,1
exp1_distribution,zipf128,524288,7,huffman+obst,128,1.1687,278.1506,1691.4014,1386.376,3357.0967,316797,0,0.6042423248291016,2243748,4.279609680175781,1
exp1_distribution,repetitive90,524288,1,huffman,256,2.3168,0.0,417.7504,554.9968,975.0640000000001,118102,1,0.22526168823242188,0,0.0,1
exp1_distribution,repetitive90,524288,1,huffman+obst,256,2.2741,2137.9049,780.5584,555.3408,3476.0782,118102,1,0.22526168823242188,853318,1.6275749206542969,1
exp1_distribution,repetitive90,524288,2,huffman,256,2.3185,0.0,412.9288,555.1384,970.3857,118236,2,0.22551727294921875,0,0.0,1
exp1_distribution,repetitive90,524288,2,huffman+obst,256,2.3568,2147.6542,780.0892,557.3016,3487.4017999999996,118236,2,0.22551727294921875,854309,1.629465103149414,1
exp1_distribution,repetitive90,524288,3,huffman,256,2.296,0.0,410.0881,553.369,965.7531,117877,6,0.22483253479003906,0,0.0,1
exp1_distribution,repetitive90,524288,3,huffman+obst,256,2.3292,2137.6604,755.5507,582.7735,3478.313800000001,117877,6,0.22483253479003906,852323,1.6256771087646484,1
exp1_distribution,repetitive90,524288,4,huffman,256,1.9459,0.0,348.5461,531.3096,881.8016,117860,4,0.22480010986328125,0,0.0,1
exp1_distribution,repetitive90,524288,4,huffman+obst,256,2.3108,2135.6289,772.6106,565.1059,3475.6562000000004,117860,4,0.22480010986328125,851955,1.6249752044677734,1
exp1_distribution,repetitive90,524288,5,huffman,256,2.2765,0.0,413.2101,552.0821,967.5687,117973,4,0.22501564025878906,0,0.0,1
exp1_distribution,repetitive90,524288,5,huffman+obst,256,2.314,2127.559,771.582,555.9249,3457.3799,117973,4,0.22501564025878906,852748,1.6264877319335938,1
exp1_distribution,repetitive90,524288,6,huffman,256,2.3522,0.0,414.3973,558.8503,975.5998,118384,4,0.225799560546875,0,0.0,1
exp1_distribution,repetitive90,524288,6,huffman+obst,256,2.3514,2171.0343,779.5036,558.056,3510.9453,118384,4,0.225799560546875,854851,1.6304988861083984,1
exp1_distribution,repetitive90,524288,7,huffman,256,2.2704,0.0,410.1754,553.0246,965.4703999999999,117813,2,0.22471046447753906,0,0.0,1
exp1_distribution,repetitive90,524288,7,huffman+obst,256,2.2705,2141.7537,790.781,566.834,3501.6392,117813,2,0.22471046447753906,851438,1.6239891052246094,1
exp1_distribution,english_like,524288,1,huffman,52,0.485,0.0,1048.5964,1550.0781,2599.1594999999998,361549,5,0.6895999908447266,0,0.0,1
exp1_distribution,english_like,524288,1,huffman+obst,52,0.4648,20.5662,1872.8724,1552.4214,3446.3248,361549,5,0.6895999908447266,2367837,4.516290664672852,1
exp1_distribution,english_like,524288,2,huffman,52,0.4669,0.0,1056.2871,1331.518,2388.272,361606,3,0.6897087097167969,0,0.0,1
exp1_distribution,english_like,524288,2,huffman+obst,52,0.4656,20.8253,1845.0589,1549.7532,3416.103,361606,3,0.6897087097167969,2368396,4.517356872558594,1
exp1_distribution,english_like,524288,3,huffman,52,0.485,0.0,1057.5846,1548.4008,2606.4703999999997,361596,4,0.6896896362304688,0,0.0,1
exp1_distribution,english_like,524288,3,huffman+obst,52,0.4821,20.6135,1843.2716,1549.7939,3414.1611000000003,361596,4,0.6896896362304688,2368296,4.5171661376953125,1
exp1_distribution,english_like,524288,4,huffman,52,0.429,0.0,1043.7777,1545.6535,2589.8602,361606,3,0.6897087097167969,0,0.0,1
exp1_distribution,english_like,524288,4,huffman+obst,52,0.461,20.6074,1850.8671,1570.3568,3442.2923,361606,3,0.6897087097167969,2369478,4.519420623779297,1
exp1_distribution,english_like,524288,5,huffman,52,0.4658,0.0,1044.87,1549.9073,2595.2430999999997,361571,2,0.6896419525146484,0,0.0,1
exp1_distribution,english_like,524288,5,huffman+obst,52,0.4667,29.9475,2387.6995,1708.0085,4126.1222,361571,2,0.6896419525146484,2368124,4.516838073730469,1
exp1_distribution,english_like,524288,6,huffman,52,0.4206,0.0,1098.9548,1570.5477,2669.9231,361728,6,0.68994140625,0,0.0,1
exp1_distribution,english_like,524288,6,huffman+obst,52,0.4579,21.3847,1891.5202,1569.3796,3482.7424,361728,6,0.68994140625,2369528,4.5195159912109375,1
exp1_distribution,english_like,524288,7,huffman,52,0.4154,0.0,1060.8933,1551.7594,2613.0681,361367,1,0.6892528533935547,0,0.0,1
exp1_distribution,english_like,524288,7,huffman+obst,52,0.4189,21.44,1878.0707,1559.226,3459.1556,361367,1,0.6892528533935547,2366691,4.514104843139648,1
exp2_size_scaling,uniform256,4096,1,huffman,256,2.9343,0.0,11.3744,20.3347,34.6434,4087,0,0.997802734375,0,0.0,1
exp2_size_scaling,uniform256,4096,1,huffman+obst,256,2.2462,2244.2643,20.2102,17.2569,2283.9775999999997,4087,0,0.997802734375,28203,6.885498046875,1
exp2_size_scaling,uniform256,4096,2,huffman,256,2.5769,0.0,11.4102,20.1247,34.1118,4090,7,0.99853515625,0,0.0,1
exp2_size_scaling,uniform256,4096,2,huffman+obst,256,2.2411,2243.1939,20.6858,17.2445,2283.3653000000004,4090,7,0.99853515625,28297,6.908447265625,1
exp2_size_scaling,uniform256,4096,3,huffman,256,2.3026,0.0,11.5803,17.1765,31.0594,4086,6,0.99755859375,0,0.0,1
exp2_size_scaling,uniform256,4096,3,huffman+obst,256,2.2212,2287.0446,23.8633,19.3542,2332.4833000000003,4086,6,0.99755859375,28195,6.883544921875,1
exp2_size_scaling,uniform256,4096,4,huffman,256,2.2512,0.0,11.327,18.0973,31.6755,4084,6,0.9970703125,0,0.0,1
exp2_size_scaling,uniform256,4096,4,huffman+obst,256,2.2389,2218.8977,20.0197,17.5043,2258.6605999999997,4084,6,0.9970703125,28218,6.88916015625,1
exp2_size_scaling,uniform256,4096,5,huffman,256,2.2235,0.0,11.3386,17.395,30.957099999999997,4087,0,0.997802734375,0,0.0,1
exp2_size_scaling,uniform256,4096,5,huffman+obst,256,2.2239,2205.1118,20.0489,20.8439,2248.2284999999997,4087,0,0.997802734375,28251,6.897216796875,1
exp2_size_scaling,uniform256,4096,6,huffman,256,2.2355,0.0,11.6014,17.1386,30.9755,4085,3,0.997314453125,0,0.0,1
exp2_size_scaling,uniform256,4096,6,huffman+obst,256,2.1949,2246.538,19.9018,17.7815,2286.4162,4085,3,0.997314453125,28181,6.880126953125,1
exp2_size_scaling,uniform256,4096,7,huffman,256,2.3589,0.0,11.3803,17.0952,30.8344,4088,3,0.998046875,0,0.0,1
exp2_size_scaling,uniform256,4096,7,huffman+obst,256,2.2582,2217.3753,20.3476,17.1213,2257.1024,4088,3,0.998046875,28309,6.911376953125,1
exp2_size_scaling,uniform256,8192,1,huffman,256,2.2246,0.0,22.6101,35.37,60.204699999999995,8189,2,0.9996337890625,0,0.0,1
exp2_size_scaling,uniform256,8192,1,huffman+obst,256,2.2802,1990.7851,33.9521,29.0891,2056.1065,8189,2,0.9996337890625,57022,6.960693359375,1
exp2_size_scaling,uniform256,8192,2,huffman,256,1.8959,0.0,19.2246,28.9578,50.0783,8190,0,0.999755859375,0,0.0,1
exp2_size_scaling,uniform256,8192,2,huffman+obst,256,1.8989,2475.9828,40.109,34.8835,2552.8742,8190,0,0.999755859375,56997,6.9576416015625,1
exp2_size_scaling,uniform256,8192,3,huffman,256,2.2282,0.0,23.2642,35.8814,61.3738,8190,0,0.999755859375,0,0.0,1
exp2_size_scaling,uniform256,8192,3,huffman+obst,256,2.2923,2266.9746,40.0789,34.1385,2343.4843,8190,0,0.999755859375,56988,6.95654296875,1
exp2_size_scaling,uniform256,8192,4,huffman,256,2.2795,0.0,23.2727,34.1811,59.7333,8189,5,0.9996337890625,0,0.0,1
exp2_size_scaling,uniform256,8192,4,huffman+obst,256,2.2581,2233.3905,40.1747,35.0312,2310.8545,8189,5,0.9996337890625,56980,6.95556640625,1
exp2_size_scaling,uniform256,8192,5,huffman,256,2.2737,0.0,22.5849,34.4171,59.2757,8188,4,0.99951171875,0,0.0,1
exp2_size_scaling,uniform256,8192,5,huffman+obst,256,2.2425,2203.423,40.386,34.1819,2280.2333999999996,8188,4,0.99951171875,57018,6.960205078125,1
exp2_size_scaling,uniform256,8192,6,huffman,256,2.2246,0.0,22.6761,35.8353,60.736,8191,7,0.9998779296875,0,0.0,1
exp2_size_scaling,uniform256,8192,6,huffman+obst,256,2.2366,2209.2101,39.9149,34.2842,2285.6458000000002,8191,7,0.9998779296875,56999,6.9578857421875,1
exp2_size_scaling,uniform256,8192,7,huffman,256,2.2682,0.0,23.0428,34.2432,59.5542,8188,6,0.99951171875,0,0.0,1
exp2_size_scaling,uniform256,8192,7,huffman+obst,256,2.329,2242.6429,40.8885,34.2249,2320.0853,8188,6,0.99951171875,56927,6.9490966796875,1
exp2_size_scaling,uniform256,16384,1,huffman,256,2.2583,0.0,48.0653,68.3133,118.6369,16384,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,16384,1,huffman+obst,256,2.269,2221.867,80.2122,68.8351,2373.1832999999997,16384,0,1.0,114597,6.99444580078125,1
exp2_size_scaling,uniform256,16384,2,huffman,256,2.4196,0.0,45.9615,70.211,118.5921,16384,4,1.0,0,0.0,1
exp2_size_scaling,uniform256,16384,2,huffman+obst,256,2.2384,2234.9845,80.0131,68.7218,2385.9578,16384,4,1.0,114553,6.99176025390625,1
exp2_size_scaling,uniform256,16384,3,huffman,256,2.3801,0.0,45.4771,69.952,117.8092,16384,2,1.0,0,0.0,1
exp2_size_scaling,uniform256,16384,3,huffman+obst,256,2.2383,2214.9583,79.8269,69.1538,2366.1773,16384,2,1.0,114379,6.98114013671875,1
exp2_size_scaling,uniform256,16384,4,huffman,256,2.247,0.0,45.8555,68.357,116.45949999999999,16383,2,0.99993896484375,0,0.0,1
exp2_size_scaling,uniform256,16384,4,huffman+obst,256,2.3052,2217.7216,80.3033,69.1312,2369.4612999999995,16383,2,0.99993896484375,114540,6.990966796875,1
exp2_size_scaling,uniform256,16384,5,huffman,256,2.2617,0.0,45.9604,68.3922,116.6143,16384,1,1.0,0,0.0,1
exp2_size_scaling,uniform256,16384,5,huffman+obst,256,2.2301,2218.2283,79.7714,74.0932,2374.3230000000003,16384,1,1.0,114592,6.994140625,1
exp2_size_scaling,uniform256,16384,6,huffman,256,2.236,0.0,44.7989,67.7822,114.81710000000001,16384,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,16384,6,huffman+obst,256,2.2835,2130.9479,67.4536,58.0099,2258.6949,16384,0,1.0,114632,6.99658203125,1
exp2_size_scaling,uniform256,16384,7,huffman,256,1.9073,0.0,38.0286,57.5511,97.487,16384,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,16384,7,huffman+obst,256,1.8785,2109.3068,79.2696,69.1209,2259.5757999999996,16384,0,1.0,114506,6.9888916015625,1
exp2_size_scaling,uniform256,32768,1,huffman,256,2.271,0.0,89.5273,136.548,228.34629999999999,32768,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,32768,1,huffman+obst,256,2.2995,2241.4719,162.4051,138.2626,2544.4391,32768,0,1.0,229656,7.008544921875,1
exp2_size_scaling,uniform256,32768,2,huffman,256,2.2722,0.0,91.6929,139.853,233.81810000000002,32768,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,32768,2,huffman+obst,256,2.2554,2270.841,163.9351,138.2382,2575.2697,32768,0,1.0,229774,7.01214599609375,1
exp2_size_scaling,uniform256,32768,3,huffman,256,2.2531,0.0,89.7267,140.8328,232.81259999999997,32768,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,32768,3,huffman+obst,256,2.5153,2228.674,159.5979,135.0909,2525.8781000000004,32768,0,1.0,229662,7.00872802734375,1
exp2_size_scaling,uniform256,32768,4,huffman,256,2.2696,0.0,89.4037,135.8662,227.53949999999998,32768,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,32768,4,huffman+obst,256,2.2323,2238.7489,159.7572,136.5421,2537.2805000000003,32768,0,1.0,229764,7.0118408203125,1
exp2_size_scaling,uniform256,32768,5,huffman,256,2.2736,0.0,90.0864,136.0153,228.37529999999998,32768,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,32768,5,huffman+obst,256,2.2976,2218.2735,161.0731,137.0521,2518.6962999999996,32768,0,1.0,229820,7.0135498046875,1
exp2_size_scaling,uniform256,32768,6,huffman,256,2.3283,0.0,89.5731,137.7129,229.6143,32768,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,32768,6,huffman+obst,256,2.2854,2282.3031,160.5199,137.6033,2582.7117,32768,0,1.0,230054,7.02069091796875,1
exp2_size_scaling,uniform256,32768,7,huffman,256,2.2725,0.0,91.1838,135.2265,228.6828,32768,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,32768,7,huffman+obst,256,2.2359,2259.7194,163.6527,137.3351,2562.9431000000004,32768,0,1.0,229788,7.0125732421875,1
exp2_size_scaling,uniform256,65536,1,huffman,256,2.3069,0.0,179.5871,272.635,454.529,65536,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,65536,1,huffman+obst,256,2.2575,2249.2532,320.1112,271.7289,2843.3508,65536,0,1.0,460345,7.0243072509765625,1
